Equity Name,Industry Type,% of NAV
Sun Pharmaceutical Industries Limited,Pharmaceuticals & Biotechnology,7.20%
Tata Motors Limited,Automobiles,6.91%
Mahindra & Mahindra Limited,Automobiles,6.81%
ICICI Bank Limited,Banks,6.54%
State Bank of India,Banks,6.04%
Bajaj Holdings & Investment Limited,Finance,4.12%
Tata Communications Limited,Telecom - Services,3.83%
Oracle Financial Services Software Limited,IT - Software,3.57%
Housing Development Finance Corporation Limited,Finance,3.47%
Bharat Electronics Limited,Aerospace & Defense,2.87%
Tech Mahindra Limited,IT - Software,2.87%
Larsen & Toubro Limited,Construction,2.80%
Coromandel International Limited,Fertilizers & Agrochemicals,2.64%
Mahindra & Mahindra Financial Services Limited,Finance,2.46%
Infosys Limited,IT - Software,2.41%
Can Fin Homes Limited,Finance,2.28%
The Federal Bank Limited,Banks,2.25%
City Union Bank Limited,Banks,2.15%
Bharti Airtel Limited,Telecom - Services,2.12%
UltraTech Cement Limited,Cement & Cement Products,1.90%
Minda Corporation Limited,Auto Components,1.81%
Gujarat State Petronet Limited,Gas,1.75%
Bajaj Finserv Limited,Finance,1.59%
HCL Technologies Limited,IT - Software,1.41%
CG Power and Industrial Solutions Limited,Electrical Equipment,1.34%
Lupin Limited,Pharmaceuticals & Biotechnology,1.29%
Hindalco Industries Limited,Non - Ferrous Metals,1.19%
Suprajit Engineering Limited,Auto Components,1.17%
Bharat Petroleum Corporation Limited,Petroleum Products,1.16%
Mahindra CIE Automotive Limited,Auto Components,1.05%
Tata Power Company Limited,Power,1.02%
Bandhan Bank Limited,Banks,1.01%
Tata Steel Limited,Ferrous Metals,0.75%
Other Domestic Equity (Less than 0.50% of the corpus),,0.20%
